customer_id,transaction_id,card_id,transaction_time,amount,merchant,merchant_category,location,ingestion_timestamp,source_file,batch_id,home_location,avg_spend_per_day,preferred_category,high_amount_score,late_night_score,merchant_score,fraud_risk_score,risk_level,fraud_alert,previous_location,previous_transaction_time,time_difference_minutes,location_hop_score,transactions_last_15_minutes,multiple_transaction_score,fraud_rules_triggered
C001,T1103,CRD01,2026-04-27T20:27:52.000Z,670.94,Flipkart,E-commerce,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,0,0,0,LOW,NO,null,null,null,0,1,0,null
C001,T0402,CRD01,2026-04-27T21:31:51.000Z,1159.7,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,0,0,0,LOW,NO,Mumbai,2026-04-27T20:27:52.000Z,63.983333333333334,0,1,0,null
C001,T0420,CRD01,2026-04-27T21:39:39.000Z,401.45,Meesho,E-commerce,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,0,0,35,MEDIUM,NO,Bengaluru,2026-04-27T21:31:51.000Z,7.8,35,2,0,null
C001,T1036,CRD01,2026-04-27T22:41:11.000Z,2366.79,Amazon,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,0,0,0,LOW,NO,Jaipur,2026-04-27T21:39:39.000Z,61.53333333333333,0,1,0,null
C001,T0774,CRD01,2026-04-28T01:01:55.000Z,886.05,Meesho,E-commerce,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,10,0,10,LOW,NO,Delhi,2026-04-27T22:41:11.000Z,140.73333333333332,0,1,0,null
C001,T0038,CRD01,2026-04-28T01:59:41.000Z,2120.12,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,10,0,10,LOW,NO,Jaipur,2026-04-28T01:01:55.000Z,57.766666666666666,0,1,0,null
C001,T0928,CRD01,2026-04-28T02:10:52.000Z,445.73,Amazon,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,10,0,45,MEDIUM,NO,Bengaluru,2026-04-28T01:59:41.000Z,11.183333333333334,35,2,0,null
C001,T0720,CRD01,2026-04-28T03:14:25.000Z,2005.1,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,10,0,10,LOW,NO,Delhi,2026-04-28T02:10:52.000Z,63.55,0,1,0,null
C001,T1099,CRD01,2026-04-28T04:13:04.000Z,105.67,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,10,0,10,LOW,NO,Bengaluru,2026-04-28T03:14:25.000Z,58.65,0,1,0,null
C001,T1196,CRD01,2026-04-28T05:12:50.000Z,2875.58,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1,Delhi,2000,E-commerce,0,0,0,0,LOW,NO,Bengaluru,2026-04-28T04:13:04.000Z,59.766666666666666,0,1,0,null
