transaction_id,customer_id,card_id,transaction_time,amount,merchant,merchant_category,location,ingestion_timestamp,source_file,batch_id
T001,C001,CRD01,2026-04-30T10:10:00.000Z,500,Amazon,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T002,C001,CRD01,2026-04-30T10:15:00.000Z,20000,Apple Store,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T003,C002,CRD02,2026-04-30T11:00:00.000Z,150,Dominos,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T004,C001,CRD01,2026-04-30T10:20:00.000Z,30000,Luxury Brand,Luxury,Bangalore,2026-07-13T18:59:19.304Z,transaction.csv,1
T005,C003,CRD03,2026-04-30T12:30:00.000Z,100,Flipkart,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0034,C002,CRD02,2026-04-30T13:17:47.000Z,116.57,Dominos,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1177,C010,CRD10,2026-05-01T05:41:21.000Z,504.19,Max Fashion,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T1134,C006,CRD06,2026-04-28T14:54:14.000Z,876.2,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0543,C010,CRD10,2026-04-28T01:09:57.000Z,1704.36,Zara,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0561,C006,CRD06,2026-04-30T11:30:25.000Z,1897.71,Luxury Brand,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0668,C004,CRD04,2026-05-01T06:27:39.000Z,2954.52,Apple Store,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0988,C006,CRD06,2026-04-27T23:11:41.000Z,115.55,Luxury Brand,Luxury,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0519,C004,CRD04,2026-04-29T18:51:28.000Z,4209.11,Amazon,E-commerce,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1114,C004,CRD04,2026-04-28T11:18:42.000Z,3840.98,Reliance Digital,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0639,C006,CRD06,2026-04-29T13:18:44.000Z,1403.35,Louis Vuitton,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0039,C009,CRD09,2026-04-29T19:14:43.000Z,3731.54,Luxury Brand,Luxury,Nagpur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0566,C009,CRD09,2026-04-29T11:51:21.000Z,1135.85,PVR Cinemas,Entertainment,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0669,C002,CRD02,2026-05-01T07:13:08.000Z,105.51,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0153,C002,CRD02,2026-04-29T18:09:57.000Z,417.66,MakeMyTrip,Travel,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0176,C010,CRD10,2026-04-30T06:18:05.000Z,1511.7,BigBasket,Groceries,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1007,C006,CRD06,2026-04-29T20:11:34.000Z,1460.8,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0565,C006,CRD06,2026-04-30T17:27:00.000Z,714.65,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0656,C010,CRD10,2026-04-30T06:38:11.000Z,202.18,H&M,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0637,C004,CRD04,2026-04-28T15:38:52.000Z,1088.25,Croma,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0898,C008,CRD08,2026-04-27T20:44:07.000Z,356.5,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0437,C009,CRD09,2026-05-01T08:09:17.000Z,2513.03,Apple Store,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0245,C005,CRD05,2026-04-29T07:59:07.000Z,522.2,DMart,Groceries,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0112,C003,CRD03,2026-04-30T19:35:05.000Z,9128.14,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0433,C006,CRD06,2026-05-01T03:53:49.000Z,1752.41,Louis Vuitton,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0635,C010,CRD10,2026-04-29T22:18:40.000Z,282.68,Max Fashion,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0983,C005,CRD05,2026-04-29T19:43:15.000Z,955.64,BigBasket,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0713,C005,CRD05,2026-04-30T05:01:16.000Z,392.71,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0481,C007,CRD07,2026-04-30T15:36:23.000Z,11810.65,Reliance Digital,Electronics,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0215,C003,CRD03,2026-05-01T02:33:53.000Z,326.77,Zara,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T1052,C007,CRD07,2026-04-28T02:53:50.000Z,459.06,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0742,C009,CRD09,2026-04-30T16:17:14.000Z,2767.42,Reliance Digital,Electronics,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0144,C001,CRD01,2026-04-30T14:33:05.000Z,9302.44,Zara,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0966,C002,CRD02,2026-04-29T15:13:59.000Z,377.94,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0413,C009,CRD09,2026-04-30T21:49:47.000Z,1256.39,Apple Store,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0663,C008,CRD08,2026-04-30T05:02:37.000Z,1940.95,Amazon,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T1120,C004,CRD04,2026-04-29T17:48:41.000Z,4074.9,IndianOil,Fuel,Kolkata,2026-07-13T18:59:19.304Z,transaction.csv,1
T0907,C005,CRD05,2026-04-30T06:10:38.000Z,631.44,DMart,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0068,C003,CRD03,2026-04-29T05:08:37.000Z,4128.43,Medplus,Healthcare,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0239,C009,CRD09,2026-05-01T01:04:43.000Z,2255.69,Reliance Digital,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0902,C005,CRD05,2026-04-27T23:48:29.000Z,1309.75,DMart,Groceries,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0577,C010,CRD10,2026-04-29T23:30:37.000Z,655.38,Zara,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
